variable,rents_oil_gas,rents_mining,inst,rents_oil_gas_x_inst,rents_mining_x_inst,log_oilpc,log_gaspc,log_coalpc
rents_oil_gas,1,-.2709120475480829,-.0448796855659057,-.4054529544897688,.0905638590461582,.7833516628148097,.5644692669965273,-.2241567734001791
rents_mining,-.2709120475480829,1,-.0214540300671857,.0769635707659899,-.5166450433185031,-.2188098189715713,-.2823344632399826,.3881439901424173
inst,-.0448796855659057,-.0214540300671857,1,.5340720801277961,.3897433520008536,.2081456304268476,.46248667752406,.2124307907189365
rents_oil_gas_x_inst,-.4054529544897688,.0769635707659899,.5340720801277961,1,-.0042800853724777,-.0910726614574676,.2172065445380072,.0807975033193674
rents_mining_x_inst,.0905638590461582,-.5166450433185031,.3897433520008536,-.0042800853724777,1,.1387653373844146,.2280943815929849,-.0299764750320473
log_oilpc,.7833516628148097,-.2188098189715713,.2081456304268476,-.0910726614574676,.1387653373844146,1,.7880028748751785,.0305740286639754
log_gaspc,.5644692669965273,-.2823344632399826,.46248667752406,.2172065445380072,.2280943815929849,.7880028748751785,1,.0305904308252353
log_coalpc,-.2241567734001791,.3881439901424173,.2124307907189365,.0807975033193674,-.0299764750320473,.0305740286639754,.0305904308252353,1
