model,component,term,coefficient,standard_error,t_statistic,p_value,ci_lower,ci_upper
ECI_AGGREGATE,aggregate,rents,-.0097954691504722,.0041812542,-2.3427107,.02333747,-.018202445,-.0013884944
ECI_AGGREGATE,aggregate,c.rents#c.inst,-.0051986336559329,.0034531935,-1.5054568,.1387594,-.012141745,.0017444771
ECI_DISAGGREGATED,oil_gas,rents_oil_gas,-.0072542005719523,.0057355305,-1.2647828,.21205556,-.018786257,.0042778566
ECI_DISAGGREGATED,mining,rents_mining,-.0135974258260262,.0039144447,-3.4736538,.0010980716,-.021467945,-.0057269069
ECI_DISAGGREGATED,oil_gas,c.rents_oil_gas#c.inst,-.0056538779833719,.0039092535,-1.4462807,.15459713,-.013513959,.0022062028
ECI_DISAGGREGATED,mining,c.rents_mining#c.inst,-.0021268324145991,.004286767,-.49613902,.62206066,-.010745955,.0064922902
