model,outcome,observations,countries,clusters,effective_years,r2_within,r2_between,r2_overall,f_statistic,model_p
M2,ECI,1044,49,49,23,.08515226,.0001247,.0005983,6.896074,1.44e-09
M2,DIVX,1044,49,49,23,.2661175,.2395606,.2375681,23.49373,3.89e-20
