model,component,term_type,base_term,change_term,pre_coefficient,pre_standard_error,pre_p_value,pre_ci_lower,pre_ci_upper,change_from_2014,change_standard_error,change_p_value,change_ci_lower,change_ci_upper,post_coefficient,post_standard_error,post_p_value,post_ci_lower,post_ci_upper,sign_stable,component_joint_f,component_joint_df1,component_joint_df2,component_joint_p,overall_joint_f,overall_joint_df1,overall_joint_df2,overall_joint_p,observations,countries,pre_observations,pre_countries,pre_effective_years,post_observations,post_countries,post_effective_years,post_absent_countries,cutoff_year,country_fe,year_fe,hhi_included,externally_prespecified,significance_selected,hierarchy,model_change_authorized,external_reference,interpretation_limit
DIVX,MINING,INST_INTERACTION,c.rents_mining#c.inst,1.post2014#c.rents_mining#c.inst,-0.001718,0.002167,0.431703,-0.006074,0.002638,0.000629,0.003243,0.846997,-0.005891,0.007149,-0.001089,0.002924,0.711209,-0.006967,0.004790,1,1.500951,2,48,0.233194,1.954838,5,48,0.102593,1044,49,689,49,15,355,48,8,SYR,2014,1,1,0,1,0,SENSITIVITY,0,World Bank PRN 1 (2015),"Sensibilidad en muestra completa; 2014 es transición, los coeficientes no identifican efectos causales y la significancia no selecciona el modelo."
DIVX,MINING,MAIN,rents_mining,1.post2014#c.rents_mining,-0.000637,0.002017,0.753316,-0.004692,0.003417,-0.004731,0.003406,0.171224,-0.011579,0.002117,-0.005368,0.002798,0.060998,-0.010994,0.000258,1,1.500951,2,48,0.233194,1.954838,5,48,0.102593,1044,49,689,49,15,355,48,8,SYR,2014,1,1,0,1,0,SENSITIVITY,0,World Bank PRN 1 (2015),"Sensibilidad en muestra completa; 2014 es transición, los coeficientes no identifican efectos causales y la significancia no selecciona el modelo."
DIVX,OIL_GAS,INST_INTERACTION,c.rents_oil_gas#c.inst,1.post2014#c.rents_oil_gas#c.inst,0.000517,0.001475,0.727549,-0.002449,0.003483,-0.001699,0.000842,0.049215,-0.003391,-0.000006,-0.001182,0.001738,0.499822,-0.004677,0.002313,0,2.219509,2,48,0.119696,1.954838,5,48,0.102593,1044,49,689,49,15,355,48,8,SYR,2014,1,1,0,1,0,SENSITIVITY,0,World Bank PRN 1 (2015),"Sensibilidad en muestra completa; 2014 es transición, los coeficientes no identifican efectos causales y la significancia no selecciona el modelo."
DIVX,OIL_GAS,MAIN,rents_oil_gas,1.post2014#c.rents_oil_gas,-0.004972,0.001418,0.000993,-0.007823,-0.002122,-0.001031,0.000927,0.271556,-0.002894,0.000832,-0.006003,0.001797,0.001624,-0.009616,-0.002390,1,2.219509,2,48,0.119696,1.954838,5,48,0.102593,1044,49,689,49,15,355,48,8,SYR,2014,1,1,0,1,0,SENSITIVITY,0,World Bank PRN 1 (2015),"Sensibilidad en muestra completa; 2014 es transición, los coeficientes no identifican efectos causales y la significancia no selecciona el modelo."
ECI,MINING,INST_INTERACTION,c.rents_mining#c.inst,1.post2014#c.rents_mining#c.inst,-0.003050,0.007080,0.668548,-0.017285,0.011185,0.004644,0.009569,0.629647,-0.014595,0.023883,0.001594,0.005324,0.765926,-0.009111,0.012300,0,1.163425,2,48,0.321067,1.300690,5,48,0.279434,1044,49,689,49,15,355,48,8,SYR,2014,1,1,1,1,0,SENSITIVITY,0,World Bank PRN 1 (2015),"Sensibilidad en muestra completa; 2014 es transición, los coeficientes no identifican efectos causales y la significancia no selecciona el modelo."
ECI,MINING,MAIN,rents_mining,1.post2014#c.rents_mining,-0.015067,0.004179,0.000740,-0.023469,-0.006664,0.009361,0.006143,0.134094,-0.002990,0.021712,-0.005706,0.006365,0.374499,-0.018504,0.007092,1,1.163425,2,48,0.321067,1.300690,5,48,0.279434,1044,49,689,49,15,355,48,8,SYR,2014,1,1,1,1,0,SENSITIVITY,0,World Bank PRN 1 (2015),"Sensibilidad en muestra completa; 2014 es transición, los coeficientes no identifican efectos causales y la significancia no selecciona el modelo."
ECI,OIL_GAS,INST_INTERACTION,c.rents_oil_gas#c.inst,1.post2014#c.rents_oil_gas#c.inst,-0.004823,0.003291,0.149280,-0.011440,0.001794,0.004386,0.004989,0.383673,-0.005644,0.014416,-0.000437,0.006158,0.943714,-0.012819,0.011945,1,1.145200,2,48,0.326699,1.300690,5,48,0.279434,1044,49,689,49,15,355,48,8,SYR,2014,1,1,1,1,0,SENSITIVITY,0,World Bank PRN 1 (2015),"Sensibilidad en muestra completa; 2014 es transición, los coeficientes no identifican efectos causales y la significancia no selecciona el modelo."
ECI,OIL_GAS,MAIN,rents_oil_gas,1.post2014#c.rents_oil_gas,-0.008132,0.004675,0.088356,-0.017532,0.001268,-0.000398,0.004096,0.922928,-0.008634,0.007837,-0.008530,0.004821,0.083202,-0.018224,0.001164,1,1.145200,2,48,0.326699,1.300690,5,48,0.279434,1044,49,689,49,15,355,48,8,SYR,2014,1,1,1,1,0,SENSITIVITY,0,World Bank PRN 1 (2015),"Sensibilidad en muestra completa; 2014 es transición, los coeficientes no identifican efectos causales y la significancia no selecciona el modelo."
