order,outcome,model,term,term_role,reference_coefficient,reference_standard_error,reference_p_cluster,reference_p_bootstrap,iterations,minimum_coefficient,mean_coefficient,maximum_coefficient,minimum_p_value,maximum_p_value,sign_change_count,significant_5_count,significance_change_count,maximum_absolute_difference,max_deviation_reference_se,minimum_observations,maximum_observations,most_influential_country_code,most_influential_country_name,stability_assessment
1,ECI,T1,t1_rents,rents,-.010926716029644,.0039141327,.0073191952,.0080008004,53,-.012944431,-.01092946,-.0095570451,.0012175117,.015275893,0,53,0,.0020177159,.515495,1126,1132,LBY,Libya,Signo y clasificación inferencial estables
2,ECI,T1,c.t1_rents#c.t1_inst,interaction,-.0064978641457856,.0028441905,.026446501,.02890289,53,-.007235535,-.0064917482,-.0042979415,.014420311,.067302398,0,51,2,.0021999227,.7734794,1126,1132,IRQ,Iraq,Signo estable; precisión sensible a algunas exclusiones
3,ECI,T2,t2_ma3_rents,rents,-.0090960683301091,.0051629413,.083981149,.099009901,53,-.011911915,-.0091027152,-.0063922941,.022493655,.15967463,0,2,2,.0028158459,.54539567,915,922,QAT,Qatar,Signo estable; precisión sensible a algunas exclusiones
4,ECI,T2,t2_ma3_rents_x_inst,interaction,-.0088510615751147,.0032580355,.0089331223,.02090209,53,-.010686271,-.0088411318,-.0066117961,.0021106612,.033753183,0,53,0,.0022392655,.68730539,915,922,IRQ,Iraq,Signo y clasificación inferencial estables
5,DIVX,T1,t1_rents,rents,-.0044862320646644,.0012831953,.00097474671,.0020002001,53,-.0049244883,-.0044866442,-.0038288126,.0002524218,.0035891712,0,53,0,.0006574195,.51233006,1126,1132,OMN,Oman,Signo y clasificación inferencial estables
6,DIVX,T1,c.t1_rents#c.t1_inst,interaction,-.0002501729468349,.0010669918,.81554425,.82868284,53,-.00062623032,-.00024773591,.00033014079,.54255021,.98579299,2,0,0,.00058031373,.54387832,1126,1132,OMN,Oman,Inestable: al menos una exclusión cambia el signo
7,DIVX,T2,t2_ma3_rents,rents,-.0060437466017902,.0017769729,.0012971114,.0047004703,53,-.0067886231,-.0060428688,-.0050572255,.00016399669,.0062833591,0,53,0,.00098652125,.55516958,915,922,OMN,Oman,Signo y clasificación inferencial estables
8,DIVX,T2,t2_ma3_rents_x_inst,interaction,-.0002207817597082,.0013266734,.86847377,.88148814,53,-.00077740848,-.00021627684,.00065713719,.50891739,.96991295,5,0,0,.00087791897,.66174459,915,922,OMN,Oman,Inestable: al menos una exclusión cambia el signo
