order,outcome,model,term,term_role,baseline_coefficient,baseline_standard_error,baseline_p_value,trend_coefficient,trend_standard_error,trend_p_value,coefficient_difference,absolute_coefficient_difference,relative_absolute_difference,deviation_in_baseline_se,standard_error_ratio,sign_match,baseline_significant_5,trend_significant_5,observations,countries,clusters,effective_years,baseline_model_df,trend_model_df,added_model_df,cluster_residual_df,baseline_within_r2,trend_within_r2,sensitivity_assessment
1,ECI,T1,t1_rents,rents,-.0109267155734523,.0039141327,.0073191952,-.011312818,.0025530066,.000048578757,-.00038610227,.00038610227,.035335619,.098643117,.65225345,1,1,1,1148,53,53,22,23,22,52,52,.058579572,.36547285,"Signo, magnitud y clasificación inferencial estables"
2,ECI,T1,c.t1_rents#c.t1_inst,interaction,-.0064978640773925,.0028441905,.026446501,-.0027722227,.0015591711,.081249416,.0037256414,.0037256414,.57336402,1.3099127,.54819506,1,1,0,1148,53,53,22,23,22,52,52,.058579572,.36547285,Signo estable; magnitud sensible a tendencias nacionales
3,DIVX,T1,t1_rents,rents,-.0044862321302632,.0012831953,.00097474671,-.0033724918,.0011971195,.0068331528,.0011137403,.0011137403,.24825738,.86794281,.93292063,1,1,1,1148,53,53,22,23,22,52,52,.11396459,.4667286,"Signo, magnitud y clasificación inferencial estables"
4,DIVX,T1,c.t1_rents#c.t1_inst,interaction,-.0002501729342991,.0010669918,.81554425,-.00081598375,.00095654809,.39754367,-.00056581083,.00056581083,2.2616787,.53028601,.89649057,1,0,0,1148,53,53,22,23,22,52,52,.11396459,.4667286,"Signo, magnitud y clasificación inferencial estables"
5,ECI,T2,t2_ma3_rents,rents,-.0090960686952719,.0051629413,.083981149,-.013860947,.0045919754,.0039288192,-.0047648791,.0047648791,.52383935,.92290008,.88941073,1,0,1,933,53,53,18,19,18,52,52,.064062864,.28665569,Signo y magnitud estables; cambia la precisión inferencial
6,ECI,T2,t2_ma3_rents_x_inst,interaction,-.0088510614652565,.0032580355,.0089331223,-.004758867,.0051118415,.35618168,.0040921941,.0040921941,.46233937,1.2560313,1.568995,1,1,0,933,53,53,18,19,18,52,52,.064062864,.28665569,Signo estable; magnitud sensible a tendencias nacionales
7,DIVX,T2,t2_ma3_rents,rents,-.0060437467640782,.0017769729,.0012971114,-.0038221204,.0024504799,.12488648,.0022216262,.0022216262,.3675909,1.2502308,1.3790194,1,1,0,933,53,53,18,19,18,52,52,.14130756,.55400908,Signo estable; magnitud sensible a tendencias nacionales
8,DIVX,T2,t2_ma3_rents_x_inst,interaction,-.0002207817629216,.0013266734,.86847377,-.0020923971,.00197546,.29440641,-.0018716153,.0018716153,8.4772186,1.4107581,1.4890326,1,0,0,933,53,53,18,19,18,52,52,.14130756,.55400908,Signo estable; magnitud sensible a tendencias nacionales
