outcome,inst_level,inst_val,dydx_rents,std_err,t_stat,p_val,ci_low,ci_high
ECI,P10,-1.23937289999999,-.0072374388046235,.0038823509289843,-1.86418974920358,.062295062387985,-.0148467068007784,.0003718291915313
ECI,P25,-.8784681166666666,-.0072374388046235,.0038823509289843,-1.86418974920358,.062295062387985,-.0148467068007784,.0003718291915313
ECI,P50,-.3916064666666665,-.0072374388046235,.0038823509289843,-1.86418974920358,.062295062387985,-.0148467068007784,.0003718291915313
ECI,P75,.141340766666667,-.0072374388046235,.0038823509289843,-1.86418974920358,.062295062387985,-.0148467068007784,.0003718291915313
ECI,P90,.9154543000000001,-.0072374388046235,.0038823509289843,-1.86418974920358,.062295062387985,-.0148467068007784,.0003718291915313
DIVX,P10,-1.23937289999999,-.0044915034183364,.0013557635912121,-3.312895734514208,.0009233539541561,-.0071487512286629,-.0018342556080099
DIVX,P25,-.8784681166666666,-.0044915034183364,.0013557635912121,-3.312895734514208,.0009233539541561,-.0071487512286629,-.0018342556080099
DIVX,P50,-.3916064666666665,-.0044915034183364,.0013557635912121,-3.312895734514208,.0009233539541561,-.0071487512286629,-.0018342556080099
DIVX,P75,.141340766666667,-.0044915034183364,.0013557635912121,-3.312895734514208,.0009233539541561,-.0071487512286629,-.0018342556080099
DIVX,P90,.9154543000000001,-.0044915034183364,.0013557635912121,-3.312895734514208,.0009233539541561,-.0071487512286629,-.0018342556080099
