model,outcome,percentile,inst_val,marginal_effect,standard_error,t_stat,p_val,ci_lower,ci_upper
M1_OG,ECI,P10,-1.23937289999999,-.0023055902759799,.0046998821415146,-.4905634240515074,.6237352610874001,-.0115171900049315,.0069060094529716
M1_OG,ECI,P25,-.8784681166666666,-.0023055902759799,.0046998821415146,-.4905634240515074,.6237352610874001,-.0115171900049315,.0069060094529716
M1_OG,ECI,P50,-.3916064666666665,-.0023055902759799,.0046998821415146,-.4905634240515074,.6237352610874001,-.0115171900049315,.0069060094529716
M1_OG,ECI,P75,.141340766666667,-.0023055902759799,.0046998821415146,-.4905634240515074,.6237352610874001,-.0115171900049315,.0069060094529716
M1_OG,ECI,P90,.9154543000000001,-.0023055902759799,.0046998821415146,-.4905634240515074,.6237352610874001,-.0115171900049315,.0069060094529716
M1_OG,DIVX,P10,-1.23937289999999,-.0059010759368483,.0014939806205632,-3.949901260850125,.0000781834390814,-.008829224146753,-.0029729277269436
M1_OG,DIVX,P25,-.8784681166666666,-.0059010759368483,.0014939806205632,-3.949901260850125,.0000781834390814,-.008829224146753,-.0029729277269436
M1_OG,DIVX,P50,-.3916064666666665,-.0059010759368483,.0014939806205632,-3.949901260850125,.0000781834390814,-.008829224146753,-.0029729277269436
M1_OG,DIVX,P75,.141340766666667,-.0059010759368483,.0014939806205632,-3.949901260850125,.0000781834390814,-.008829224146753,-.0029729277269436
M1_OG,DIVX,P90,.9154543000000001,-.0059010759368483,.0014939806205632,-3.949901260850125,.0000781834390814,-.008829224146753,-.0029729277269436
M2_OG,ECI,P10,-1.23937289999999,-.0112209914793753,.0049619356995568,-2.261414125212761,.023733624888306,-.0209462067441103,-.0014957762146403
M2_OG,ECI,P25,-.8784681166666666,-.0112209914793753,.0049619356995568,-2.261414125212761,.023733624888306,-.0209462067441103,-.0014957762146403
M2_OG,ECI,P50,-.3916064666666665,-.0112209914793753,.0049619356995568,-2.261414125212761,.023733624888306,-.0209462067441103,-.0014957762146403
M2_OG,ECI,P75,.141340766666667,-.0112209914793753,.0049619356995568,-2.261414125212761,.023733624888306,-.0209462067441103,-.0014957762146403
M2_OG,ECI,P90,.9154543000000001,-.0112209914793753,.0049619356995568,-2.261414125212761,.023733624888306,-.0209462067441103,-.0014957762146403
M2_OG,DIVX,P10,-1.23937289999999,-.0052615871870989,.0013277193835528,-3.962875930168146,.0000740522706235,-.007863869360438,-.0026593050137598
M2_OG,DIVX,P25,-.8784681166666666,-.0052615871870989,.0013277193835528,-3.962875930168146,.0000740522706235,-.007863869360438,-.0026593050137598
M2_OG,DIVX,P50,-.3916064666666665,-.0052615871870989,.0013277193835528,-3.962875930168146,.0000740522706235,-.007863869360438,-.0026593050137598
M2_OG,DIVX,P75,.141340766666667,-.0052615871870989,.0013277193835528,-3.962875930168146,.0000740522706235,-.007863869360438,-.0026593050137598
M2_OG,DIVX,P90,.9154543000000001,-.0052615871870989,.0013277193835528,-3.962875930168146,.0000740522706235,-.007863869360438,-.0026593050137598
