model,outcome,observations,countries,clusters,effective_years,r2_within,r2_between,r2_overall,f_statistic,model_p
M1,ECI,1044,49,49,23,.13835326,.4223124,.3969743,6.520798,4.37e-09
M1,DIVX,1044,49,49,23,.27412938,.1883152,.1806992,11.58064,1.44e-13
