model,term,base_coefficient,base_p_value,influence_coefficient,influence_p_value,no_pc_coefficient,no_pc_p_value,min_coefficient,max_coefficient,sign_changes,significant_5,significant_10,bootstrap_p_value,bootstrap_ci_lower,bootstrap_ci_upper,direction_stable,bootstrap_support,evidence_class
DIVX,c.rents_mining#c.inst,-.00089698,.69344956,-.00262291,.02515759,-.00097781,.66102189,-.00288192,.00163865,2,0,1,.73047304,-.00682462,.01434552,0,0,No concluyente
DIVX,c.rents_oil_gas#c.inst,.00120938,.35734296,.00125883,.24807847,.00129244,.3102029,.00054228,.00194858,0,0,0,.43074307,-.00187602,.00478195,1,0,No concluyente
DIVX,rents_mining,-.00141286,.45895392,-.00247643,.01755573,-.00167767,.35674223,-.00294113,.00056504,1,1,1,.54235423,-.00566372,.00638039,0,0,No concluyente
DIVX,rents_oil_gas,-.0048488,.0010159,-.00497824,.00014307,-.00446763,.00123301,-.00564372,-.00425226,0,49,49,.00290029,-.00847958,-.00156381,1,1,Complementaria
ECI,c.rents_mining#c.inst,-.00212683,.62206066,.00068883,.84557539,-.00177769,.63863868,-.00604448,.00177635,1,0,0,.68726873,-.02070202,.0262032,0,0,No concluyente
ECI,c.rents_oil_gas#c.inst,-.00565388,.15459713,-.00528771,.04335969,-.00482221,.23016556,-.0071153,-.00281074,0,0,2,.25162515,-.01492753,.00361977,1,0,No concluyente
ECI,rents_mining,-.01359743,.00109807,-.00910682,.00145811,-.01241621,.00186246,-.01673494,-.01189707,0,49,49,.02350235,-.02672254,-.00295567,1,1,Complementaria
ECI,rents_oil_gas,-.0072542,.21205556,-.00172177,.61079919,-.00600718,.30308732,-.00988751,-.00246181,0,0,1,.29242924,-.02229241,.0063518,1,0,No concluyente
