country_iso3_code,country,country_id,year,leverage,cooks_distance,standardized_residual,flag_leverage,flag_cooks,flag_residual,model,dependent_value,leverage_cutoff,cooks_cutoff,model_observations,model_parameters,flagged_observations_model,flagged_leverage_model,flagged_cooks_model,flagged_residual_model
ATG,Antigua and Barbuda,ATG,2019,0.096783,0.007032,2.389481,0,1,0,DIVX,.79564026,0.166667,0.003831,1044,87,75,4,73,21
MNG,Mongolia,MNG,2015,0.092549,0.006649,-2.381630,0,1,0,DIVX,.69251908,0.166667,0.003831,1044,87,75,4,73,21
IRN,Iran,IRN,1996,0.137965,0.006544,-1.886090,0,1,0,DIVX,.29982696,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2010,0.094696,0.006437,2.313752,0,1,0,DIVX,.76118753,0.166667,0.003831,1044,87,75,4,73,21
BRN,Brunei,BRN,2020,0.097006,0.006281,2.255351,0,1,0,DIVX,.79536939,0.166667,0.003831,1044,87,75,4,73,21
BRN,Brunei,BRN,2021,0.104047,0.006208,2.156627,0,1,0,DIVX,.82391124,0.166667,0.003831,1044,87,75,4,73,21
AUS,Australia,AUS,2021,0.112576,0.006208,-2.063350,0,1,0,DIVX,.80751989,0.166667,0.003831,1044,87,75,4,73,21
GIN,Guinea,GIN,2020,0.088256,0.006131,-2.347322,0,1,0,DIVX,.45785326,0.166667,0.003831,1044,87,75,4,73,21
JAM,Jamaica,JAM,1996,0.104844,0.006113,2.130956,0,1,0,DIVX,.76970597,0.166667,0.003831,1044,87,75,4,73,21
SYC,Seychelles,SYC,2013,0.092672,0.005617,-2.187329,0,1,0,DIVX,.59710498,0.166667,0.003831,1044,87,75,4,73,21
COG,Republic of the Congo,COG,2021,0.114677,0.005525,1.926350,0,1,0,DIVX,.76722934,0.166667,0.003831,1044,87,75,4,73,21
GMB,The Gambia,GMB,1998,0.123592,0.005517,-1.844874,0,1,0,DIVX,.57825157,0.166667,0.003831,1044,87,75,4,73,21
GMB,The Gambia,GMB,2020,0.090340,0.005253,-2.145232,0,1,0,DIVX,.62293296,0.166667,0.003831,1044,87,75,4,73,21
SUR,Suriname,SUR,2013,0.087543,0.005226,2.176988,0,1,0,DIVX,.76643021,0.166667,0.003831,1044,87,75,4,73,21
COD,Democratic Republic of the Congo,COD,2002,0.118938,0.005211,-1.832632,0,1,0,DIVX,.51861345,0.166667,0.003831,1044,87,75,4,73,21
IRN,Iran,IRN,2014,0.088803,0.005160,2.146307,0,1,0,DIVX,.72500461,0.166667,0.003831,1044,87,75,4,73,21
GIN,Guinea,GIN,2013,0.081519,0.005032,2.220853,0,1,0,DIVX,.79528254,0.166667,0.003831,1044,87,75,4,73,21
SYC,Seychelles,SYC,2004,0.101471,0.004925,1.947923,0,1,0,DIVX,.85083773,0.166667,0.003831,1044,87,75,4,73,21
