model,percentile,inst_val,marginal_effect,standard_error,t_stat,p_val,ci_lower,ci_upper,significance
DIVX,P10,-1.23937289999999,-.0035361282417883,.0012959506104667,-2.728597998433773,.0063604188416781,-.0060761447640457,-.000996111719531,1%
DIVX,P25,-.8784681166666666,-.0035361282417883,.0012959506104667,-2.728597998433773,.0063604188416781,-.0060761447640457,-.000996111719531,1%
DIVX,P50,-.3916064666666665,-.0035361282417883,.0012959506104667,-2.728597998433773,.0063604188416781,-.0060761447640457,-.000996111719531,1%
DIVX,P75,.141340766666667,-.0035361282417883,.0012959506104667,-2.728597998433773,.0063604188416781,-.0060761447640457,-.000996111719531,1%
DIVX,P90,.9154543000000001,-.0035361282417883,.0012959506104667,-2.728597998433773,.0063604188416781,-.0060761447640457,-.000996111719531,1%
ECI,P10,-1.23937289999999,-.0097954691504722,.0041812540815272,-2.342710813425235,.0191442152146271,-.0179905765604766,-.0016003617404678,5%
ECI,P25,-.8784681166666666,-.0097954691504722,.0041812540815272,-2.342710813425235,.0191442152146271,-.0179905765604766,-.0016003617404678,5%
ECI,P50,-.3916064666666665,-.0097954691504722,.0041812540815272,-2.342710813425235,.0191442152146271,-.0179905765604766,-.0016003617404678,5%
ECI,P75,.141340766666667,-.0097954691504722,.0041812540815272,-2.342710813425235,.0191442152146271,-.0179905765604766,-.0016003617404678,5%
ECI,P90,.9154543000000001,-.0097954691504722,.0041812540815272,-2.342710813425235,.0191442152146271,-.0179905765604766,-.0016003617404678,5%
