model,rent_structure,observations,countries,clusters,r2_within,r2_between,r2_overall,f_statistic,model_p_value,rmse,df_model
DIVX_TWFE_MAIN,aggregate,1044,49,49,.311895899379753,.31017837,.30115348,24.76256,4.3773752e-21,.071635209,37
DIVX_TWFE_DISAGG,disaggregated,1044,49,49,.3269696001926266,.33846337,.3248581,33.389771,3.8868494e-24,.070916839,39
