order,regime,sample_scope,cutoff_year,first_year,last_year,effective_years,observations,countries,absent_countries,absent_country_codes,sample_share,externally_prespecified,significance_selected,external_reference,annual_data_caveat
1,PRE_2014,ECI_DIVX_COMMON,2014,1996,2013,15,689,49,0,,0.659962,1,0,World Bank PRN 1 (2015),2014 is excluded from the pre-cutoff regime.
2,FROM_2014,ECI_DIVX_COMMON,2014,2014,2021,8,355,48,1,SYR,0.340038,1,0,World Bank PRN 1 (2015),Annual 2014 mixes months before and after the mid-year oil-price decline.
