model,method,result_type,term,support_point,support_value,estimate,standard_error,p_value,ci_lower,ci_upper,reference_estimate,reference_p_value,estimate_min,estimate_max,p_value_at_min_estimate,p_value_at_max_estimate,sign_stable,observations,countries,repetitions,excluded_observations,sample_changed,inference_method,hierarchy,comparable_to_main,source_file,source_fields,interpretation_scope,significance_selected
DIVX,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P50,-0.391606,-0.003907,0.001070,0.000262,-0.006005,-0.001810,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
DIVX,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P75,0.141341,-0.003402,0.001406,0.015558,-0.006159,-0.000646,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
DIVX,MARGINAL_EFFECTS,MARGINAL_EFFECT,dY/dRENTS,P90,0.915454,-0.002668,0.002146,0.213721,-0.006875,0.001538,,,,,,,,1044,49,,0,0,DELTA_METHOD_CLUSTER,SENSITIVITY,0,05_stability/rents_marginal_effects_by_inst.csv,institutional_percentile; inst_value; marginal_effect; standard_error; p_value; ci_lower; ci_upper,Efecto marginal dentro del soporte observado de INST; no es el coeficiente aislado de RENTS.,0
DIVX,REGIME_2014,COEFFICIENT_CHANGE,INST,CHANGE_FROM_2014,2014.000000,0.005293,0.013391,0.694424,-0.021632,0.032217,0.000000,,,,,,,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,change_from_2014; change_standard_error; change_p_value; change_ci_lower; change_ci_upper,Cambio desde 2014 respecto del periodo previo; su nulo es cambio igual a cero.,0
DIVX,REGIME_2014,COEFFICIENT_CHANGE,RENTS,CHANGE_FROM_2014,2014.000000,-0.000829,0.000879,0.350120,-0.002597,0.000938,0.000000,,,,,,,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,change_from_2014; change_standard_error; change_p_value; change_ci_lower; change_ci_upper,Cambio desde 2014 respecto del periodo previo; su nulo es cambio igual a cero.,0
DIVX,REGIME_2014,COEFFICIENT_CHANGE,RENTS x INST,CHANGE_FROM_2014,2014.000000,-0.001908,0.000782,0.018457,-0.003480,-0.000335,0.000000,,,,,,,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,change_from_2014; change_standard_error; change_p_value; change_ci_lower; change_ci_upper,Cambio desde 2014 respecto del periodo previo; su nulo es cambio igual a cero.,0
DIVX,REGIME_2014,PERIOD_COEFFICIENT,INST,FROM_2014,2014.000000,0.028502,0.024051,0.241828,-0.019856,0.076860,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,post_coefficient; post_standard_error; post_p_value; post_ci_lower; post_ci_upper,Coeficiente desde 2014; no equivale al coeficiente promedio del M3.,0
DIVX,REGIME_2014,PERIOD_COEFFICIENT,INST,PRE_2014,2014.000000,0.023210,0.027608,0.404694,-0.032300,0.078719,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,pre_coefficient; pre_standard_error; pre_p_value; pre_ci_lower; pre_ci_upper,Coeficiente previo al corte externo; no equivale al coeficiente promedio del M3.,0
DIVX,REGIME_2014,PERIOD_COEFFICIENT,RENTS,FROM_2014,2014.000000,-0.004594,0.001595,0.005919,-0.007801,-0.001387,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,post_coefficient; post_standard_error; post_p_value; post_ci_lower; post_ci_upper,Coeficiente desde 2014; no equivale al coeficiente promedio del M3.,0
DIVX,REGIME_2014,PERIOD_COEFFICIENT,RENTS,PRE_2014,2014.000000,-0.003765,0.001259,0.004379,-0.006295,-0.001234,,,,,,,1,1044,49,,0,0,CLUSTER_COUNTRY,SENSITIVITY,0,05_stability/structural_stability_2014_coefficients.csv,pre_coefficient; pre_standard_error; pre_p_value; pre_ci_lower; pre_ci_upper,Coeficiente previo al corte externo; no equivale al coeficiente promedio del M3.,0
