model,outcome,observations,countries,clusters,effective_years,r2_within,r2_between,r2_overall,f_statistic,model_p_value
M3_OG,DIVX,1044,49,49,23,.3258721,.3359534,.3222285,24.5202,5.43e-21
M3_OG,ECI,1044,49,49,23,.14441944,.1713258,.180464,17.13188,1.06e-17
