outcome,resource_type,percentile,inst_val,marginal_effect,standard_error,t_stat,p_val,ci_lower,ci_upper
ECI,Hidrocarburos,P10,-1.23937289999999,-.0072542005719523,.0057355305102628,-1.264782840745427,.2059491841421426,-.018495633804298,.0039872326603935
ECI,Hidrocarburos,P25,-.8784681166666666,-.0072542005719523,.0057355305102628,-1.264782840745427,.2059491841421426,-.018495633804298,.0039872326603935
ECI,Hidrocarburos,P50,-.3916064666666665,-.0072542005719523,.0057355305102628,-1.264782840745427,.2059491841421426,-.018495633804298,.0039872326603935
ECI,Hidrocarburos,P75,.141340766666667,-.0072542005719523,.0057355305102628,-1.264782840745427,.2059491841421426,-.018495633804298,.0039872326603935
ECI,Hidrocarburos,P90,.9154543000000001,-.0072542005719523,.0057355305102628,-1.264782840745427,.2059491841421426,-.018495633804298,.0039872326603935
ECI,Minería/Carbón,P10,-1.23937289999999,-.0135974258260262,.0039144448223894,-3.473653721787858,.0005134231691093,-.0212695966973787,-.0059252549546737
ECI,Minería/Carbón,P25,-.8784681166666666,-.0135974258260262,.0039144448223894,-3.473653721787858,.0005134231691093,-.0212695966973787,-.0059252549546737
ECI,Minería/Carbón,P50,-.3916064666666665,-.0135974258260262,.0039144448223894,-3.473653721787858,.0005134231691093,-.0212695966973787,-.0059252549546737
ECI,Minería/Carbón,P75,.141340766666667,-.0135974258260262,.0039144448223894,-3.473653721787858,.0005134231691093,-.0212695966973787,-.0059252549546737
ECI,Minería/Carbón,P90,.9154543000000001,-.0135974258260262,.0039144448223894,-3.473653721787858,.0005134231691093,-.0212695966973787,-.0059252549546737
DIVX,Hidrocarburos,P10,-1.23937289999999,-.0048487999837241,.0013854586456797,-3.499779656970762,.0004656428854971,-.007564249031326,-.0021333509361222
DIVX,Hidrocarburos,P25,-.8784681166666666,-.0048487999837241,.0013854586456797,-3.499779656970762,.0004656428854971,-.007564249031326,-.0021333509361222
DIVX,Hidrocarburos,P50,-.3916064666666665,-.0048487999837241,.0013854586456797,-3.499779656970762,.0004656428854971,-.007564249031326,-.0021333509361222
DIVX,Hidrocarburos,P75,.141340766666667,-.0048487999837241,.0013854586456797,-3.499779656970762,.0004656428854971,-.007564249031326,-.0021333509361222
DIVX,Hidrocarburos,P90,.9154543000000001,-.0048487999837241,.0013854586456797,-3.499779656970762,.0004656428854971,-.007564249031326,-.0021333509361222
DIVX,Minería/Carbón,P10,-1.23937289999999,-.0014128563697214,.0018924190190461,-.7465874922529786,.455312600748898,-.0051219294907104,.0022962167512675
DIVX,Minería/Carbón,P25,-.8784681166666666,-.0014128563697214,.0018924190190461,-.7465874922529786,.455312600748898,-.0051219294907104,.0022962167512675
DIVX,Minería/Carbón,P50,-.3916064666666665,-.0014128563697214,.0018924190190461,-.7465874922529786,.455312600748898,-.0051219294907104,.0022962167512675
DIVX,Minería/Carbón,P75,.141340766666667,-.0014128563697214,.0018924190190461,-.7465874922529786,.455312600748898,-.0051219294907104,.0022962167512675
DIVX,Minería/Carbón,P90,.9154543000000001,-.0014128563697214,.0018924190190461,-.7465874922529786,.455312600748898,-.0051219294907104,.0022962167512675
