model,excluded_country_id,excluded_country_iso3,term,base_coefficient,coefficient,standard_error,p_value,observations,countries,sign_reversal,significant_5,significant_10
DIVX,15,COL,RENTS x INST,0.000948,0.000898,0.001205,0.459905,1021,48,0,0,0
DIVX,16,DZA,RENTS x INST,0.000948,0.000907,0.001195,0.451692,1021,48,0,0,0
DIVX,17,ECU,RENTS x INST,0.000948,0.000919,0.001192,0.444304,1021,48,0,0,0
DIVX,18,EGY,RENTS x INST,0.000948,0.000950,0.001182,0.425573,1021,48,0,0,0
DIVX,19,GAB,RENTS x INST,0.000948,0.000917,0.001195,0.446525,1023,48,0,0,0
DIVX,20,GHA,RENTS x INST,0.000948,0.000935,0.001195,0.437992,1021,48,0,0,0
DIVX,21,GIN,RENTS x INST,0.000948,0.000902,0.001188,0.451207,1021,48,0,0,0
DIVX,22,GMB,RENTS x INST,0.000948,0.001006,0.001179,0.397622,1023,48,0,0,0
DIVX,23,GUY,RENTS x INST,0.000948,0.001088,0.001172,0.357886,1021,48,0,0,0
DIVX,24,IDN,RENTS x INST,0.000948,0.000881,0.001191,0.463079,1021,48,0,0,0
DIVX,25,IND,RENTS x INST,0.000948,0.001037,0.001185,0.385945,1021,48,0,0,0
DIVX,26,IRN,RENTS x INST,0.000948,0.000827,0.001196,0.492553,1026,48,0,0,0
DIVX,27,IRQ,RENTS x INST,0.000948,0.001280,0.001315,0.335199,1026,48,0,0,0
DIVX,28,ISR,RENTS x INST,0.000948,0.000981,0.001183,0.411347,1021,48,0,0,0
DIVX,29,JAM,RENTS x INST,0.000948,0.000971,0.001181,0.415378,1021,48,0,0,0
DIVX,30,JOR,RENTS x INST,0.000948,0.000955,0.001185,0.424444,1021,48,0,0,0
DIVX,31,KWT,RENTS x INST,0.000948,0.000476,0.001173,0.686650,1022,48,0,0,0
DIVX,32,LBR,RENTS x INST,0.000948,0.001135,0.001175,0.338712,1023,48,0,0,0
DIVX,34,MNG,RENTS x INST,0.000948,0.000855,0.001163,0.465791,1023,48,0,0,0
DIVX,35,MRT,RENTS x INST,0.000948,0.001027,0.001196,0.394786,1029,48,0,0,0
DIVX,36,NGA,RENTS x INST,0.000948,0.000856,0.001217,0.485450,1021,48,0,0,0
DIVX,37,NOR,RENTS x INST,0.000948,0.001033,0.001237,0.408046,1021,48,0,0,0
DIVX,39,OMN,RENTS x INST,0.000948,0.001364,0.001190,0.257493,1023,48,0,0,0
DIVX,40,PER,RENTS x INST,0.000948,0.000978,0.001188,0.414823,1021,48,0,0,0
DIVX,42,QAT,RENTS x INST,0.000948,0.000671,0.001274,0.600644,1021,48,0,0,0
DIVX,43,RUS,RENTS x INST,0.000948,0.000905,0.001178,0.446391,1024,48,0,0,0
DIVX,44,SAU,RENTS x INST,0.000948,0.001228,0.001187,0.306013,1025,48,0,0,0
DIVX,46,SUR,RENTS x INST,0.000948,0.000524,0.001148,0.650400,1028,48,0,0,0
DIVX,47,SYC,RENTS x INST,0.000948,0.000491,0.001143,0.669348,1024,48,0,0,0
DIVX,48,SYR,RENTS x INST,0.000948,0.000941,0.001188,0.432466,1031,48,0,0,0
DIVX,49,TGO,RENTS x INST,0.000948,0.000959,0.001182,0.421555,1021,48,0,0,0
DIVX,50,TTO,RENTS x INST,0.000948,0.000923,0.001197,0.444510,1021,48,0,0,0
DIVX,52,VNM,RENTS x INST,0.000948,0.000951,0.001185,0.426267,1021,48,0,0,0
DIVX,54,ZAF,RENTS x INST,0.000948,0.001006,0.001195,0.404330,1021,48,0,0,0
DIVX,55,ZMB,RENTS x INST,0.000948,0.001035,0.001164,0.378415,1021,48,0,0,0
ECI,1,AGO,RENTS,-0.009795,-0.008585,0.004245,0.048820,1023,48,0,1,1
ECI,2,ALB,RENTS,-0.009795,-0.009699,0.004188,0.024972,1021,48,0,1,1
ECI,3,ARE,RENTS,-0.009795,-0.010221,0.004154,0.017594,1021,48,0,1,1
ECI,4,ATG,RENTS,-0.009795,-0.010622,0.004160,0.013962,1023,48,0,1,1
ECI,5,AUS,RENTS,-0.009795,-0.009351,0.004365,0.037388,1024,48,0,1,1
ECI,6,BDI,RENTS,-0.009795,-0.009549,0.004265,0.029947,1021,48,0,1,1
ECI,7,BHR,RENTS,-0.009795,-0.010110,0.004190,0.019786,1027,48,0,1,1
ECI,8,BOL,RENTS,-0.009795,-0.009774,0.004302,0.027692,1021,48,0,1,1
ECI,9,BRN,RENTS,-0.009795,-0.006698,0.003365,0.052355,1023,48,0,0,1
ECI,10,CAF,RENTS,-0.009795,-0.009970,0.004339,0.026069,1023,48,0,1,1
ECI,11,CHL,RENTS,-0.009795,-0.010328,0.004396,0.023056,1021,48,0,1,1
ECI,12,CMR,RENTS,-0.009795,-0.009340,0.004216,0.031616,1024,48,0,1,1
