model,term,conventional_coefficient,conventional_p_value,bootstrap_p_value,ci_lower,ci_upper,replications,weight_type
DIVX,c.rents_mining#c.inst,-.0008969832927308,.69344956,.73047304,-.0068246224,.014345517,9999,rademacher
DIVX,c.rents_oil_gas#c.inst,.0012093830587751,.35734296,.43074307,-.0018760167,.0047819512,9999,rademacher
DIVX,rents_mining,-.0014128563697215,.45895392,.54235423,-.0056637167,.0063803876,9999,rademacher
DIVX,rents_oil_gas,-.0048487999837241,.0010159025,.0029002901,-.0084795794,-.001563809,9999,rademacher
ECI,c.rents_mining#c.inst,-.0021268324145991,.62206066,.68726873,-.020702017,.026203198,9999,rademacher
ECI,c.rents_oil_gas#c.inst,-.0056538779833719,.15459713,.25162515,-.014927526,.0036197701,9999,rademacher
ECI,rents_mining,-.0135974258260262,.0010980716,.02350235,-.026722543,-.0029556714,9999,rademacher
ECI,rents_oil_gas,-.0072542005719523,.21205556,.29242924,-.022292409,.0063517969,9999,rademacher
