outcome,model,term,estimate_name,ster_relative_path,coefficient,conventional_p,bootstrap_p,observations,countries,repetitions,ready_for_file03,handoff_role,order,sample_type,hypothesis,ci_lower,ci_upper,seed,weight_type
DIVX,T1,c.t1_rents#c.t1_inst,DIVX_T1_OWN,04_divx/divx_t1_own.ster,-.0002501729342991,.81554425,.82868284,1148,53,9999,1,Referencia temporal para placebo y sensibilidad,7,own,c.t1_rents#c.t1_inst = 0,-.0024937624,.0023893442,2608007,rademacher
DIVX,T1,t1_rents,DIVX_T1_OWN,04_divx/divx_t1_own.ster,-.0044862321302632,.00097474671,.0020002001,1148,53,9999,1,Referencia temporal para placebo y sensibilidad,6,own,t1_rents = 0,-.0073431563,-.0016293082,2608006,rademacher
DIVX,T2,t2_ma3_rents,DIVX_T2_OWN,04_divx/divx_t2_own.ster,-.0060437467640782,.0012971114,.0047004703,933,53,9999,1,Referencia temporal para placebo y sensibilidad,8,own,t2_ma3_rents = 0,-.010000291,-.0020872026,2608008,rademacher
DIVX,T2,t2_ma3_rents_x_inst,DIVX_T2_OWN,04_divx/divx_t2_own.ster,-.0002207817629216,.86847377,.88148814,933,53,9999,1,Referencia temporal para placebo y sensibilidad,9,own,t2_ma3_rents_x_inst = 0,-.0028464915,.0030613553,2608009,rademacher
ECI,T1,c.t1_rents#c.t1_inst,ECI_T1_OWN,03_eci/eci_t1_own.ster,-.0064978640773925,.026446501,.02890289,1148,53,9999,1,Referencia temporal para placebo y sensibilidad,2,own,c.t1_rents#c.t1_inst = 0,-.012830209,-.00051731605,2608002,rademacher
ECI,T1,t1_rents,ECI_T1_OWN,03_eci/eci_t1_own.ster,-.0109267155734523,.0073191952,.0080008004,1148,53,9999,1,Referencia temporal para placebo y sensibilidad,1,own,t1_rents = 0,-.019641194,-.0026963737,2608001,rademacher
ECI,T2,t2_ma3_rents,ECI_T2_OWN,03_eci/eci_t2_own.ster,-.0090960686952719,.083981149,.099009901,933,53,9999,1,Referencia temporal para placebo y sensibilidad,3,own,t2_ma3_rents = 0,-.020591689,.0017609058,2608003,rademacher
ECI,T2,t2_ma3_rents_x_inst,ECI_T2_OWN,03_eci/eci_t2_own.ster,-.0088510614652565,.0089331223,.02090209,933,53,9999,1,Referencia temporal para placebo y sensibilidad,4,own,t2_ma3_rents_x_inst = 0,-.0165083,-.0011938239,2608004,rademacher
