model,outcome,observations,countries,clusters,effective_years,r2_within,r2_between,r2_overall,f_statistic,model_p_value
M3_MIN,DIVX,1044,49,49,23,.27068714,.2313874,.2339769,30.91869,3.17e-23
M3_MIN,ECI,1044,49,49,23,.15018053,.2580577,.2558655,9.800898,9.12e-13
