model,outcome,term,coefficient,conventional_p,bootstrap_p,ci_lower,ci_upper,repetitions,weight_type
M2_MIN,DIVX,RENTS_MINING,-0.001332,0.366393,0.427243,-0.005146,0.004117,9999,rademacher
M2_MIN,DIVX,RENTS_MINING x INST,-0.001318,0.427924,0.492749,-0.006236,0.010979,9999,rademacher
M2_MIN,ECI,RENTS_MINING,-0.011582,0.017687,0.083708,-0.025257,0.003633,9999,rademacher
M2_MIN,ECI,RENTS_MINING x INST,-0.000934,0.811718,0.826583,-0.015192,0.023468,9999,rademacher
