model,outcome,term,coefficient,conventional_p,bootstrap_p,ci_lower,ci_upper,repetitions,weight_type
M1_MIN,DIVX,RENTS_MINING,-0.000294,0.868571,0.882088,-0.004243,0.006946,9999,rademacher
M1_MIN,DIVX,RENTS_MINING x INST,-0.000950,0.689727,0.731373,-0.008882,0.014915,9999,rademacher
M1_MIN,ECI,RENTS_MINING,-0.012671,0.000777,0.033403,-0.024709,-0.002197,9999,rademacher
M1_MIN,ECI,RENTS_MINING x INST,-0.002169,0.600983,0.687669,-0.017060,0.028335,9999,rademacher
