model,null_hypothesis,f_statistic,df1,df2,p_value,decision
ECI,"Los coeficientes de petróleo, gas y carbón son iguales",0.265427,2,48,0.767997,No rechazar H0
DIVX,"Los coeficientes de petróleo, gas y carbón son iguales",1.125348,2,48,0.332951,No rechazar H0
