model,support_points,inst_min,inst_max,marginal_effect_min,marginal_effect_max,negative_points,positive_points,zero_points,significant_5_points,significant_10_points,ci_excludes_zero_points,sign_consistent_across_support,p10_effect,p10_p_value,p50_effect,p50_p_value,p90_effect,p90_p_value,observations,countries,source_file,interpretation_scope,significance_selected
ECI,5,-1.239373,0.915454,-0.014555,-0.003352,5,0,0,3,3,3,1,-0.003352,0.448359,-0.007760,0.039323,-0.014555,0.020532,1044,49,focal_robustness_evidence.csv,Cinco efectos marginales dentro de P10-P90 de INST; no equivalen al coeficiente aislado de RENTS.,0
DIVX,5,-1.239373,0.915454,-0.004711,-0.002668,5,0,0,4,4,4,1,-0.004711,0.000098,-0.003907,0.000262,-0.002668,0.213721,1044,49,focal_robustness_evidence.csv,Cinco efectos marginales dentro de P10-P90 de INST; no equivalen al coeficiente aislado de RENTS.,0
