outcome,inst_level,inst_val,dydx_rents,std_err,t_stat,p_val,ci_low,ci_high
ECI,P10,-1.23937289999999,-.0130588017875833,.0042485919192819,-3.073677593820393,.002114377983222,-.0213858889343838,-.0047317146407828
ECI,P25,-.8784681166666666,-.0130588017875833,.0042485919192819,-3.073677593820393,.002114377983222,-.0213858889343838,-.0047317146407828
ECI,P50,-.3916064666666665,-.0130588017875833,.0042485919192819,-3.073677593820393,.002114377983222,-.0213858889343838,-.0047317146407828
ECI,P75,.141340766666667,-.0130588017875833,.0042485919192819,-3.073677593820393,.002114377983222,-.0213858889343838,-.0047317146407828
ECI,P90,.9154543000000001,-.0130588017875833,.0042485919192819,-3.073677593820393,.002114377983222,-.0213858889343838,-.0047317146407828
DIVX,P10,-1.23937289999999,-.004262492154569,.0012193499728915,-3.495708573692863,.0004728047751336,-.0066523741859863,-.0018726101231518
DIVX,P25,-.8784681166666666,-.004262492154569,.0012193499728915,-3.495708573692863,.0004728047751336,-.0066523741859863,-.0018726101231518
DIVX,P50,-.3916064666666665,-.004262492154569,.0012193499728915,-3.495708573692863,.0004728047751336,-.0066523741859863,-.0018726101231518
DIVX,P75,.141340766666667,-.004262492154569,.0012193499728915,-3.495708573692863,.0004728047751336,-.0066523741859863,-.0018726101231518
DIVX,P90,.9154543000000001,-.004262492154569,.0012193499728915,-3.495708573692863,.0004728047751336,-.0066523741859863,-.0018726101231518
