model,excluded_id,excluded_iso3,term,base_b,b,se,p,obs,countries,sign_change,sig_5
DIVX,31,KWT,RENTS,-.0035361282417884,-.0039549028,.0013670931,.0057671736,1022,48,0,1
ECI,32,LBR,RENTS,-.0097954691504722,-.0097099617,.0042547644,.027052144,1023,48,0,1
DIVX,32,LBR,RENTS,-.0035361282417884,-.0037555441,.0012791745,.0051338891,1023,48,0,1
ECI,34,MNG,RENTS,-.0097954691504722,-.0090707336,.0045151403,.0503048,1023,48,0,0
DIVX,34,MNG,RENTS,-.0035361282417884,-.0039020365,.0013094712,.0045539481,1023,48,0,1
ECI,35,MRT,RENTS,-.0097954691504722,-.0090885395,.0042728339,.038693588,1029,48,0,1
DIVX,35,MRT,RENTS,-.0035361282417884,-.0035868909,.0013388665,.01014332,1029,48,0,1
ECI,36,NGA,RENTS,-.0097954691504722,-.0099903736,.0041853078,.02106165,1021,48,0,1
DIVX,36,NGA,RENTS,-.0035361282417884,-.0035036418,.0012991974,.0096885441,1021,48,0,1
ECI,37,NOR,RENTS,-.0097954691504722,-.01011818,.0042693648,.021946812,1021,48,0,1
DIVX,37,NOR,RENTS,-.0035361282417884,-.0034694667,.0013201259,.011561083,1021,48,0,1
ECI,39,OMN,RENTS,-.0097954691504722,-.010610646,.0041850237,.014618327,1023,48,0,1
DIVX,39,OMN,RENTS,-.0035361282417884,-.0030455508,.0013097756,.024426581,1023,48,0,1
ECI,40,PER,RENTS,-.0097954691504722,-.0095530655,.0041822279,.026920766,1021,48,0,1
DIVX,40,PER,RENTS,-.0035361282417884,-.0034868892,.001319735,.011154745,1021,48,0,1
ECI,42,QAT,RENTS,-.0097954691504722,-.011810338,.0042503709,.0078211315,1021,48,0,1
DIVX,42,QAT,RENTS,-.0035361282417884,-.0040098908,.001366077,.0051419735,1021,48,0,1
ECI,43,RUS,RENTS,-.0097954691504722,-.0095272865,.004129291,.025493946,1024,48,0,1
DIVX,43,RUS,RENTS,-.0035361282417884,-.0035651224,.0012851396,.0079154251,1024,48,0,1
ECI,44,SAU,RENTS,-.0097954691504722,-.010244386,.004313522,.021684144,1025,48,0,1
DIVX,44,SAU,RENTS,-.0035361282417884,-.0030087109,.0012601081,.021028548,1025,48,0,1
ECI,46,SUR,RENTS,-.0097954691504722,-.010516586,.0045298706,.024638986,1028,48,0,1
DIVX,46,SUR,RENTS,-.0035361282417884,-.0041427827,.0012279729,.0014937711,1028,48,0,1
ECI,47,SYC,RENTS,-.0097954691504722,-.0084931469,.0042344779,.050662667,1024,48,0,0
