model,term,replications,base_coefficient,min_coefficient,min_p_value,max_coefficient,max_p_value,sign_changes,significant_5,significant_10
DIVX,c.rents_mining#c.inst,49,-.0008969832927308,-.0028819155,.081557289,.0016386471,.9190833,2,0,1
DIVX,c.rents_oil_gas#c.inst,49,.0012093830587751,.00054228504,.18172948,.0019485761,.66453379,0,0,0
DIVX,rents_mining,49,-.0014128563697214,-.0029411267,.01124014,.00056503824,.84998667,1,1,1
DIVX,rents_oil_gas,49,-.0048487999837241,-.0056437212,.00024619515,-.0042522568,.0037873506,0,49,49
ECI,c.rents_mining#c.inst,49,-.0021268324145991,-.0060444763,.33764175,.0017763523,.8776623,1,0,0
ECI,c.rents_oil_gas#c.inst,49,-.0056538779833719,-.0071153049,.08014863,-.002810736,.43059313,0,0,2
ECI,rents_mining,49,-.0135974258260262,-.016734937,.00010623939,-.01189707,.018187989,0,49,49
ECI,rents_oil_gas,49,-.0072542005719523,-.0098875137,.095242679,-.0024618148,.57633525,0,0,1
