model,term,reps,base_b,min_b,min_p,max_b,max_p,sign_changes,sig_5
DIVX,RENTS,49,-.0035361282417884,-.0041427827,.0014937711,-.0030087109,.024461294,0,49
ECI,RENTS,49,-.0097954691504722,-.011810338,.0066305553,-.0066983458,.05235517,0,46
