model,outcome,term,coefficient,conventional_p,bootstrap_p,ci_lower,ci_upper,repetitions,weight_type
M1_OG,DIVX,RENTS_OIL_GAS,-0.005901,0.000255,0.000300,-0.009613,-0.002375,9999,rademacher
M1_OG,DIVX,RENTS_OIL_GAS x INST,0.000422,0.755491,0.777478,-0.002757,0.004436,9999,rademacher
M1_OG,ECI,RENTS_OIL_GAS,-0.002306,0.625970,0.667667,-0.015158,0.008210,9999,rademacher
M1_OG,ECI,RENTS_OIL_GAS x INST,-0.002673,0.506159,0.624963,-0.012097,0.006255,9999,rademacher
M2_OG,DIVX,RENTS_OIL_GAS,-0.005262,0.000245,0.000800,-0.008564,-0.002124,9999,rademacher
M2_OG,DIVX,RENTS_OIL_GAS x INST,0.001196,0.377036,0.427443,-0.001806,0.005031,9999,rademacher
M2_OG,ECI,RENTS_OIL_GAS,-0.011221,0.028302,0.051005,-0.023562,-0.000114,9999,rademacher
M2_OG,ECI,RENTS_OIL_GAS x INST,-0.004709,0.287419,0.383638,-0.015053,0.005635,9999,rademacher
