model,outcome,regressors,hhi_rule
M1_OG,ECI,"RENTS_OIL_GAS, INST, interacción, OILPC, GASPC, COALPC, HHI, PEXP, FEXP y log_GDPPC",Incluir HHI
M1_OG,DIVX,"RENTS_OIL_GAS, INST, interacción, OILPC, GASPC, COALPC, PEXP, FEXP y log_GDPPC",Excluir HHI: DIVX=1-HHI
M2_OG,ECI,"RENTS_OIL_GAS, INST, interacción, VOL, RER, HUMCAP, INNOV, NET, log_GDPPC, GOVCONS y FIN",No aplica
M2_OG,DIVX,"RENTS_OIL_GAS, INST, interacción, VOL, RER, HUMCAP, INNOV, NET, log_GDPPC, GOVCONS y FIN",No aplica
