model,outcome,observations,countries,clusters,effective_years,r2_within,r2_between,r2_overall,f_statistic,model_p_value
M1_OG,DIVX,1044,49,49,23,.29274245,.202621,.1931278,11.48853,1.69e-13
M1_OG,ECI,1044,49,49,23,.13222436,.4320962,.4047661,5.879147,2.43e-08
M2_OG,DIVX,1044,49,49,23,.28014502,.2809985,.270858,28.96737,3.93e-22
M2_OG,ECI,1044,49,49,23,.07271736,.0045756,.0008001,5.737394,3.12e-08
