year,observations_eci,excluded_eci,observations_divx,excluded_divx
1996,37,18,37,18
1997,0,55,0,55
1998,38,17,38,17
1999,0,55,0,55
2000,45,10,45,10
2001,0,55,0,55
2002,45,10,45,10
2003,43,12,43,12
2004,45,10,45,10
2005,49,6,49,6
2006,49,6,49,6
2007,49,6,49,6
2008,49,6,49,6
2009,48,7,48,7
2010,49,6,49,6
2011,49,6,49,6
2012,47,8,47,8
2013,47,8,47,8
2014,48,7,48,7
2015,47,8,47,8
2016,46,9,46,9
2017,45,10,45,10
2018,45,10,45,10
2019,45,10,45,10
2020,40,15,40,15
2021,39,16,39,16
