variable,grid_observations,available_grid,missing_grid,coverage_grid_percent,countries_available,first_year,last_year,sample_observations,sample_zeros,sample_zero_percent,mean,sd,min,p1,p5,p25,median,p75,p95,p99,max,skewness
rents_oil_gas,1430,1365,65,95.45454545454545,54,1996,2021,1044,224,21.45593869731801,10.288943,14.24631,0,0,0,.06885267,2.8981082,16.144646,41.285976,54.138184,65.312958,1.5134046
rents_mining,1430,1384,46,96.78321678321679,54,1996,2021,1044,292,27.96934865900383,2.1245651,4.5262537,0,0,0,0,.086122215,2.2643363,10.621546,26.16114,39.954617,3.8061607
