model,outcome,percentile,inst_val,marginal_effect,standard_error,t_stat,p_val,ci_lower,ci_upper
M1_MIN,ECI,P10,-1.23937289999999,-.012670502993127,.0035303206515378,-3.589051602892658,.0003318831483386,-.0195898043240191,-.0057512016622348
M1_MIN,ECI,P25,-.8784681166666666,-.012670502993127,.0035303206515378,-3.589051602892658,.0003318831483386,-.0195898043240191,-.0057512016622348
M1_MIN,ECI,P50,-.3916064666666665,-.012670502993127,.0035303206515378,-3.589051602892658,.0003318831483386,-.0195898043240191,-.0057512016622348
M1_MIN,ECI,P75,.141340766666667,-.012670502993127,.0035303206515378,-3.589051602892658,.0003318831483386,-.0195898043240191,-.0057512016622348
M1_MIN,ECI,P90,.9154543000000001,-.012670502993127,.0035303206515378,-3.589051602892658,.0003318831483386,-.0195898043240191,-.0057512016622348
M1_MIN,DIVX,P10,-1.23937289999999,-.0002937890617848,.0017659614141711,-.1663621070241281,.867871992575537,-.0037550098316476,.0031674317080779
M1_MIN,DIVX,P25,-.8784681166666666,-.0002937890617848,.0017659614141711,-.1663621070241281,.867871992575537,-.0037550098316476,.0031674317080779
M1_MIN,DIVX,P50,-.3916064666666665,-.0002937890617848,.0017659614141711,-.1663621070241281,.867871992575537,-.0037550098316476,.0031674317080779
M1_MIN,DIVX,P75,.141340766666667,-.0002937890617848,.0017659614141711,-.1663621070241281,.867871992575537,-.0037550098316476,.0031674317080779
M1_MIN,DIVX,P90,.9154543000000001,-.0002937890617848,.0017659614141711,-.1663621070241281,.867871992575537,-.0037550098316476,.0031674317080779
M2_MIN,ECI,P10,-1.23937289999999,-.0115822074040627,.0047144378704866,-2.456752580529246,.0140199207449635,-.0208223358375681,-.0023420789705573
M2_MIN,ECI,P25,-.8784681166666666,-.0115822074040627,.0047144378704866,-2.456752580529246,.0140199207449635,-.0208223358375681,-.0023420789705573
M2_MIN,ECI,P50,-.3916064666666665,-.0115822074040627,.0047144378704866,-2.456752580529246,.0140199207449635,-.0208223358375681,-.0023420789705573
M2_MIN,ECI,P75,.141340766666667,-.0115822074040627,.0047144378704866,-2.456752580529246,.0140199207449635,-.0208223358375681,-.0023420789705573
M2_MIN,ECI,P90,.9154543000000001,-.0115822074040627,.0047144378704866,-2.456752580529246,.0140199207449635,-.0208223358375681,-.0023420789705573
M2_MIN,DIVX,P10,-1.23937289999999,-.0013318760240442,.0014605932232975,-.9118733421460826,.3618353961415661,-.0041945861377706,.0015308340896822
M2_MIN,DIVX,P25,-.8784681166666666,-.0013318760240442,.0014605932232975,-.9118733421460826,.3618353961415661,-.0041945861377706,.0015308340896822
M2_MIN,DIVX,P50,-.3916064666666665,-.0013318760240442,.0014605932232975,-.9118733421460826,.3618353961415661,-.0041945861377706,.0015308340896822
M2_MIN,DIVX,P75,.141340766666667,-.0013318760240442,.0014605932232975,-.9118733421460826,.3618353961415661,-.0041945861377706,.0015308340896822
M2_MIN,DIVX,P90,.9154543000000001,-.0013318760240442,.0014605932232975,-.9118733421460826,.3618353961415661,-.0041945861377706,.0015308340896822
