model,period,beta_og,se_og,pval_og,beta_mn,se_mn,pval_mn
ECI,Pre-2015 (1996-2014),-.0094638944435999,.0063260953711026,.1411979601587294,-.0148993861195002,.0055959993488811,.0105227662415707
ECI,Post-2014 (2015-2021),.0099726725398489,.0057859048478034,.0914934897989581,-.0026352690272783,.0047763806672684,.5838043906076601
DIVX,Pre-2015 (1996-2014),-.0044030331740818,.0016180969539973,.0090366853640966,-.0019670095462348,.0010648347099167,.0708802366181467
DIVX,Post-2014 (2015-2021),-.0044430602045556,.0018278129762169,.0190219693567221,-.002693532408804,.0017205870573684,.1243262881775678
